date,awake_min,light_min,deep_min,rem_min
2023-01-01,28,115,88,62
2023-01-02,18,132,82,72
2023-01-03,35,108,95,58
2023-01-04,22,124,78,68
2023-01-05,40,95,65,50
2023-01-06,15,138,105,78
2023-01-07,32,110,72,61
2023-01-08,25,120,90,70
2023-01-09,20,128,98,74
2023-01-10,45,100,60,48
2023-01-11,18,135,102,76
2023-01-12,30,112,85,64
2023-01-13,24,122,92,71
2023-01-14,38,105,70,55
2023-01-15,16,140,108,80
2023-01-16,27,118,86,65
2023-01-17,33,107,75,58
2023-01-18,21,130,99,73
2023-01-19,42,98,62,47
2023-01-20,17,136,104,79
2023-01-21,29,114,87,63
2023-01-22,23,125,93,72
2023-01-23,37,103,68,54
2023-01-24,14,142,110,82
2023-01-25,31,109,83,62
2023-01-26,26,121,91,70
2023-01-27,44,97,61,46
2023-01-28,19,133,100,75
2023-01-29,36,106,73,57
2023-01-30,22,127,96,71
